Rank,Value,Name,Image
bitcoin,34307,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400
ethereum,1816.31,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628
tether,0.999633,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661
binancecoin,225.35,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970
ripple,0.557798,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442
usd-coin,1.001,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694
staked-ether,1816.99,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206
solana,32.21,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756
dogecoin,0.073039,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409
cardano,0.29395,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090
tron,0.093304,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193
the-open-network,2.16,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498
chainlink,11.02,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009
matic-network,0.641692,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745
wrapped-bitcoin,34281,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857
polkadot,4.32,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008
litecoin,69.59,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400
bitcoin-cash,249.67,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932
shiba-inu,8e-06,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800
avalanche-2,11.05,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369
dai,0.998738,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996
leo-token,3.98,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1696508607
true-usd,0.998828,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1696504140
uniswap,4.25,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319
stellar,0.114768,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482
monero,160.76,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1696501460
okb,45.59,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053
ethereum-classic,16.72,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717
cosmos,7.22,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525
binance-usd,1.001,BUSD,https://assets.coingecko.com/coins/images/9576/large/BUSDLOGO.jpg?1696509654
hedera-hashgraph,0.053443,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1696504364
filecoin,3.78,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1696512609
lido-dao,1.89,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326
aptos,6.59,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528
internet-computer,3.6,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180
crypto-com-chain,0.059334,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599
quant-network,106.85,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070
vechain,0.01901441,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1696502256
maker,1434.67,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423
optimism,1.44,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385
arbitrum,0.962094,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109
aave,81.49,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1696512452
near,1.2,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367
mantle,0.374571,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819
kaspa,0.050042,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837
rocket-pool-eth,1978.41,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1696520159
injective-protocol,12.0,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670
bitcoin-cash-sv,49.29,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1696507128
blockstack,0.659907,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1696503035
the-graph,0.10023,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159
